@relation 'glass-weka.filters.unsupervised.attribute.Remove-R1,4-10-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-Rfirst-last'

@attribute RI {'\'(-inf-1.52254]\'','\'(1.52254-inf)\''}
@attribute Na {'\'(-inf-14.055]\'','\'(14.055-inf)\''}
@attribute Type_of_glass {1,2,3,4,5,6,7}

@data
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(1.52254-inf)\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(1.52254-inf)\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',1
'\'(1.52254-inf)\'','\'(-inf-14.055]\'',1
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(14.055-inf)\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
'\'(-inf-1.52254]\'','\'(-inf-14.055]\'',2
