@RELATION mail

@ATTRIBUTE length NUMERIC
@ATTRIBUTE num_chunks NUMERIC
@ATTRIBUTE num_letters NUMERIC
@ATTRIBUTE word_mean NUMERIC
@ATTRIBUTE num_words NUMERIC
@ATTRIBUTE 'num_{\ }' NUMERIC
@ATTRIBUTE 'num_{\!}' NUMERIC
@ATTRIBUTE 'num_{\"}' NUMERIC
@ATTRIBUTE 'num_{\#}' NUMERIC
@ATTRIBUTE 'num_{\$}' NUMERIC
@ATTRIBUTE 'num_{\%}' NUMERIC
@ATTRIBUTE 'num_{\&}' NUMERIC
@ATTRIBUTE 'num_{\'}' NUMERIC
@ATTRIBUTE 'num_{\(}' NUMERIC
@ATTRIBUTE 'num_{\)}' NUMERIC
@ATTRIBUTE 'num_{\*}' NUMERIC
@ATTRIBUTE 'num_{\+}' NUMERIC
@ATTRIBUTE 'num_{\,}' NUMERIC
@ATTRIBUTE 'num_{\-}' NUMERIC
@ATTRIBUTE 'num_{\.}' NUMERIC
@ATTRIBUTE 'num_{\/}' NUMERIC
@ATTRIBUTE 'num_{0}' NUMERIC
@ATTRIBUTE 'num_{1}' NUMERIC
@ATTRIBUTE 'num_{2}' NUMERIC
@ATTRIBUTE 'num_{3}' NUMERIC
@ATTRIBUTE 'num_{4}' NUMERIC
@ATTRIBUTE 'num_{5}' NUMERIC
@ATTRIBUTE 'num_{6}' NUMERIC
@ATTRIBUTE 'num_{7}' NUMERIC
@ATTRIBUTE 'num_{8}' NUMERIC
@ATTRIBUTE 'num_{9}' NUMERIC
@ATTRIBUTE 'num_{\:}' NUMERIC
@ATTRIBUTE 'num_{\;}' NUMERIC
@ATTRIBUTE 'num_{\<}' NUMERIC
@ATTRIBUTE 'num_{\=}' NUMERIC
@ATTRIBUTE 'num_{\>}' NUMERIC
@ATTRIBUTE 'num_{\?}' NUMERIC
@ATTRIBUTE 'num_{\@}' NUMERIC
@ATTRIBUTE 'num_{A}' NUMERIC
@ATTRIBUTE 'num_{B}' NUMERIC
@ATTRIBUTE 'num_{C}' NUMERIC
@ATTRIBUTE 'num_{D}' NUMERIC
@ATTRIBUTE 'num_{E}' NUMERIC
@ATTRIBUTE 'num_{F}' NUMERIC
@ATTRIBUTE 'num_{G}' NUMERIC
@ATTRIBUTE 'num_{H}' NUMERIC
@ATTRIBUTE 'num_{I}' NUMERIC
@ATTRIBUTE 'num_{J}' NUMERIC
@ATTRIBUTE 'num_{K}' NUMERIC
@ATTRIBUTE 'num_{L}' NUMERIC
@ATTRIBUTE 'num_{M}' NUMERIC
@ATTRIBUTE 'num_{N}' NUMERIC
@ATTRIBUTE 'num_{O}' NUMERIC
@ATTRIBUTE 'num_{P}' NUMERIC
@ATTRIBUTE 'num_{Q}' NUMERIC
@ATTRIBUTE 'num_{R}' NUMERIC
@ATTRIBUTE 'num_{S}' NUMERIC
@ATTRIBUTE 'num_{T}' NUMERIC
@ATTRIBUTE 'num_{U}' NUMERIC
@ATTRIBUTE 'num_{V}' NUMERIC
@ATTRIBUTE 'num_{W}' NUMERIC
@ATTRIBUTE 'num_{X}' NUMERIC
@ATTRIBUTE 'num_{Y}' NUMERIC
@ATTRIBUTE 'num_{Z}' NUMERIC
@ATTRIBUTE 'num_{\[}' NUMERIC
@ATTRIBUTE 'num_{\\}' NUMERIC
@ATTRIBUTE 'num_{\]}' NUMERIC
@ATTRIBUTE 'num_{\^}' NUMERIC
@ATTRIBUTE 'num_{_}' NUMERIC
@ATTRIBUTE 'num_{\`}' NUMERIC
@ATTRIBUTE 'num_{a}' NUMERIC
@ATTRIBUTE 'num_{b}' NUMERIC
@ATTRIBUTE 'num_{c}' NUMERIC
@ATTRIBUTE 'num_{d}' NUMERIC
@ATTRIBUTE 'num_{e}' NUMERIC
@ATTRIBUTE 'num_{f}' NUMERIC
@ATTRIBUTE 'num_{g}' NUMERIC
@ATTRIBUTE 'num_{h}' NUMERIC
@ATTRIBUTE 'num_{i}' NUMERIC
@ATTRIBUTE 'num_{j}' NUMERIC
@ATTRIBUTE 'num_{k}' NUMERIC
@ATTRIBUTE 'num_{l}' NUMERIC
@ATTRIBUTE 'num_{m}' NUMERIC
@ATTRIBUTE 'num_{n}' NUMERIC
@ATTRIBUTE 'num_{o}' NUMERIC
@ATTRIBUTE 'num_{p}' NUMERIC
@ATTRIBUTE 'num_{q}' NUMERIC
@ATTRIBUTE 'num_{r}' NUMERIC
@ATTRIBUTE 'num_{s}' NUMERIC
@ATTRIBUTE 'num_{t}' NUMERIC
@ATTRIBUTE 'num_{u}' NUMERIC
@ATTRIBUTE 'num_{v}' NUMERIC
@ATTRIBUTE 'num_{w}' NUMERIC
@ATTRIBUTE 'num_{x}' NUMERIC
@ATTRIBUTE 'num_{y}' NUMERIC
@ATTRIBUTE 'num_{z}' NUMERIC
@ATTRIBUTE 'num_{\{}' NUMERIC
@ATTRIBUTE 'num_{\|}' NUMERIC
@ATTRIBUTE 'num_{\}}' NUMERIC
@ATTRIBUTE 'num_{\~}' NUMERIC
@ATTRIBUTE 'word_len_{1}' NUMERIC
@ATTRIBUTE 'word_len_{2}' NUMERIC
@ATTRIBUTE 'word_len_{3}' NUMERIC
@ATTRIBUTE 'word_len_{4}' NUMERIC
@ATTRIBUTE 'word_len_{5}' NUMERIC
@ATTRIBUTE 'word_len_{6}' NUMERIC
@ATTRIBUTE 'word_len_{7}' NUMERIC
@ATTRIBUTE 'word_len_{8}' NUMERIC
@ATTRIBUTE 'word_len_{9}' NUMERIC
@ATTRIBUTE 'word_len_{10}' NUMERIC
@ATTRIBUTE 'word_len_{11}' NUMERIC
@ATTRIBUTE 'word_len_{12}' NUMERIC
@ATTRIBUTE 'word_len_{13}' NUMERIC
@ATTRIBUTE 'word_len_{14}' NUMERIC
@ATTRIBUTE 'word_len_{15}' NUMERIC
@ATTRIBUTE 'word_len_{16}' NUMERIC
@ATTRIBUTE 'word_len_{17}' NUMERIC
@ATTRIBUTE 'word_len_{18}' NUMERIC
@ATTRIBUTE 'word_len_{19}' NUMERIC
@ATTRIBUTE 'word_len_{20}' NUMERIC
@ATTRIBUTE 'consequent_{2}' NUMERIC
@ATTRIBUTE 'consequent_{3}' NUMERIC
@ATTRIBUTE 'consequent_{4}' NUMERIC
@ATTRIBUTE 'consequent_{5}' NUMERIC
@ATTRIBUTE 'consequent_{6}' NUMERIC
@ATTRIBUTE 'consequent_{7}' NUMERIC
@ATTRIBUTE 'consequent_{8}' NUMERIC
@ATTRIBUTE 'consequent_{9}' NUMERIC
@ATTRIBUTE 'consequent_{10}' NUMERIC
@ATTRIBUTE num_spam NUMERIC
@ATTRIBUTE 'num_spam_word{Africa}' NUMERIC
@ATTRIBUTE 'num_spam_word{akcija}' NUMERIC
@ATTRIBUTE 'num_spam_word{discount}' NUMERIC
@ATTRIBUTE 'num_spam_word{dovana}' NUMERIC
@ATTRIBUTE 'num_spam_word{enlarge}' NUMERIC
@ATTRIBUTE 'num_spam_word{help}' NUMERIC
@ATTRIBUTE 'num_spam_word{laimėjote}' NUMERIC
@ATTRIBUTE 'num_spam_word{milijonas}' NUMERIC
@ATTRIBUTE 'num_spam_word{million}' NUMERIC
@ATTRIBUTE 'num_spam_word{nemokamai}' NUMERIC
@ATTRIBUTE 'num_spam_word{nuolaida}' NUMERIC
@ATTRIBUTE 'num_spam_word{penis}' NUMERIC
@ATTRIBUTE 'num_spam_word{poverty}' NUMERIC
@ATTRIBUTE 'num_spam_word{prizas}' NUMERIC
@ATTRIBUTE 'num_spam_word{prize}' NUMERIC
@ATTRIBUTE 'num_spam_word{sex}' NUMERIC
@ATTRIBUTE 'num_spam_word{viagra}' NUMERIC
@ATTRIBUTE 'num_spam_word{won}' NUMERIC
@ATTRIBUTE num_money NUMERIC
@ATTRIBUTE class {0,1}

@DATA
2467, 171, 2190, 12.8070175438596, 388, 197, 0, 2, 0, 0, 0, 0, 0, 12, 12, 0, 6, 7, 46, 108, 6, 64, 78, 64, 42, 36, 38, 21, 26, 39, 20, 44, 21, 3, 28, 3, 0, 10, 12, 6, 9, 14, 12, 5, 8, 8, 9, 9, 4, 7, 25, 5, 1, 16, 2, 14, 15, 21, 4, 6, 2, 5, 11, 5, 4, 0, 4, 0, 0, 0, 76, 27, 59, 67, 129, 24, 26, 24, 100, 7, 16, 61, 99, 62, 95, 29, 5, 51, 82, 62, 28, 22, 17, 22, 14, 7, 0, 0, 0, 0, 0, 21, 11, 30, 13, 6, 4, 9, 9, 4, 4, 5, 12, 3, 5, 1, 2, 2, 1, 1, 73, 19, 16, 8, 8, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
72801, 1075, 70695, 65.7627906976744, 1775, 101, 1, 54, 0, 0, 0, 1, 0, 1, 1, 4, 88, 10, 104, 36, 2075, 493, 441, 338, 179, 278, 226, 166, 119, 481, 250, 66, 32, 20, 73, 20, 36, 8, 37070, 2885, 886, 924, 1006, 590, 1071, 948, 723, 439, 205, 314, 617, 437, 192, 390, 1680, 236, 317, 309, 680, 152, 429, 264, 908, 324, 1, 0, 1, 0, 50, 0, 513, 363, 831, 431, 313, 154, 1555, 381, 382, 152, 533, 451, 226, 256, 421, 359, 132, 245, 429, 362, 242, 221, 1428, 170, 261, 217, 9, 0, 9, 0, 15, 10, 8, 8, 16, 5, 5, 5, 3, 6, 10, 5, 13, 2, 0, 6, 5, 5, 3, 8, 16400, 9126, 6356, 4585, 3582, 3042, 2616, 2236, 1975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
656, 45, 598, 13.2888888888889, 92, 33, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 3, 12, 16, 0, 25, 28, 11, 9, 8, 13, 15, 16, 11, 7, 17, 1, 4, 9, 4, 4, 6, 11, 3, 7, 6, 1, 4, 5, 5, 5, 1, 1, 5, 5, 2, 5, 7, 4, 7, 9, 10, 2, 2, 3, 7, 1, 2, 0, 0, 0, 0, 0, 0, 20, 7, 8, 5, 23, 4, 15, 13, 23, 2, 3, 13, 20, 8, 10, 2, 5, 8, 8, 13, 13, 10, 3, 11, 6, 0, 0, 0, 0, 0, 0, 4, 7, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 16, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1367, 131, 1172, 8.94656488549618, 241, 149, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 4, 8, 14, 71, 3, 52, 77, 27, 32, 25, 47, 7, 8, 17, 42, 29, 7, 2, 3, 2, 0, 7, 2, 0, 0, 4, 5, 3, 4, 6, 2, 1, 0, 2, 6, 8, 0, 12, 1, 9, 9, 19, 2, 2, 0, 3, 1, 0, 3, 0, 3, 0, 0, 0, 40, 11, 15, 27, 58, 14, 12, 15, 50, 2, 1, 36, 38, 16, 41, 9, 2, 19, 37, 38, 28, 30, 9, 5, 5, 1, 0, 0, 0, 0, 0, 20, 8, 25, 15, 3, 2, 8, 7, 5, 3, 5, 5, 5, 3, 1, 3, 0, 1, 1, 52, 14, 11, 5, 5, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1863, 112, 1602, 14.3035714285714, 253, 175, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 32, 14, 80, 1, 12, 23, 14, 1, 9, 10, 3, 6, 10, 12, 11, 3, 6, 12, 6, 12, 33, 4, 2, 12, 2, 3, 8, 1, 7, 6, 5, 4, 4, 7, 0, 2, 5, 2, 4, 5, 11, 4, 6, 4, 3, 2, 1, 0, 0, 0, 0, 1, 0, 131, 16, 45, 32, 64, 13, 39, 2, 128, 10, 39, 69, 84, 57, 71, 26, 3, 49, 86, 60, 49, 31, 8, 6, 14, 3, 0, 0, 0, 0, 2, 8, 11, 6, 2, 8, 4, 6, 7, 4, 3, 3, 4, 3, 2, 0, 1, 0, 3, 6, 56, 24, 22, 11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1718, 138, 1487, 10.7753623188406, 259, 165, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 8, 7, 16, 61, 6, 53, 69, 39, 37, 18, 19, 13, 23, 25, 23, 30, 15, 3, 16, 3, 0, 9, 6, 1, 7, 10, 7, 14, 6, 5, 9, 3, 6, 5, 12, 8, 2, 13, 5, 13, 13, 18, 1, 5, 2, 6, 3, 3, 2, 0, 2, 0, 0, 0, 35, 16, 56, 47, 94, 30, 22, 21, 52, 6, 6, 26, 44, 27, 79, 15, 6, 47, 48, 36, 25, 19, 5, 13, 9, 3, 0, 0, 0, 0, 0, 18, 9, 22, 14, 3, 4, 8, 7, 2, 4, 4, 7, 6, 2, 4, 1, 2, 1, 1, 58, 16, 13, 7, 7, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8549, 305, 8060, 26.4262295081967, 1642, 168, 1, 28, 2, 0, 0, 6, 0, 6, 6, 0, 18, 22, 45, 44, 90, 810, 311, 130, 93, 92, 94, 31, 65, 302, 89, 29, 7, 43, 1392, 43, 2, 3, 43, 480, 235, 800, 68, 49, 90, 31, 56, 18, 14, 187, 38, 98, 1, 23, 155, 74, 17, 25, 21, 9, 11, 12, 79, 13, 0, 0, 0, 0, 12, 0, 75, 36, 80, 98, 123, 41, 126, 45, 50, 35, 12, 44, 34, 58, 96, 41, 2, 89, 99, 176, 60, 77, 30, 10, 40, 20, 0, 0, 0, 0, 7, 11, 18, 13, 14, 19, 9, 2, 4, 8, 6, 18, 11, 1, 2, 4, 2, 11, 3, 1, 106, 8, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2438, 178, 2065, 11.6011235955056, 346, 295, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 4, 10, 36, 61, 5, 90, 69, 86, 23, 41, 45, 27, 29, 27, 26, 64, 18, 4, 24, 4, 0, 10, 16, 7, 12, 17, 13, 8, 12, 11, 7, 5, 12, 4, 20, 16, 21, 26, 9, 14, 22, 39, 8, 5, 6, 11, 11, 2, 1, 0, 1, 0, 1, 0, 73, 20, 65, 55, 98, 16, 38, 28, 81, 12, 11, 42, 73, 36, 65, 24, 6, 35, 52, 52, 27, 26, 26, 15, 19, 6, 0, 0, 0, 0, 0, 25, 13, 32, 19, 4, 3, 11, 9, 3, 7, 6, 5, 3, 2, 1, 2, 1, 1, 2, 143, 45, 36, 19, 19, 19, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
856, 63, 764, 12.1269841269841, 128, 48, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 5, 4, 16, 4, 8, 9, 26, 10, 4, 19, 11, 19, 7, 3, 4, 47, 4, 8, 2, 8, 0, 23, 4, 2, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 52, 14, 10, 26, 41, 6, 8, 3, 41, 6, 9, 13, 17, 30, 23, 20, 2, 29, 20, 50, 25, 4, 0, 2, 6, 0, 0, 0, 0, 0, 1, 1, 12, 2, 9, 2, 1, 0, 2, 1, 5, 1, 7, 0, 0, 5, 2, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
589, 43, 535, 12.4418604651163, 88, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 4, 14, 11, 0, 34, 18, 14, 11, 7, 16, 11, 13, 9, 5, 17, 1, 3, 8, 3, 4, 5, 7, 5, 8, 7, 1, 4, 4, 4, 5, 0, 2, 2, 7, 2, 6, 2, 3, 7, 4, 16, 3, 5, 6, 5, 0, 3, 0, 0, 0, 0, 3, 0, 18, 4, 17, 4, 24, 1, 8, 4, 22, 1, 1, 11, 14, 7, 8, 1, 1, 7, 10, 7, 9, 8, 4, 4, 5, 2, 0, 0, 0, 0, 0, 4, 6, 7, 6, 0, 0, 4, 1, 0, 3, 1, 2, 1, 1, 0, 0, 0, 1, 0, 12, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
