@relation 'glass-weka.filters.unsupervised.attribute.Remove-R1,4-10'

@attribute RI numeric
@attribute Na numeric
@attribute Type_of_glass {1,2,3,4,5,6,7}

@data
1.52101,13.64,1
1.51761,13.89,1
1.51618,13.53,1
1.51766,13.21,1
1.51742,13.27,1
1.51596,12.79,1
1.51743,13.3,1
1.51756,13.15,1
1.51918,14.04,1
1.51755,13,1
1.51571,12.72,1
1.51763,12.8,1
1.51589,12.88,1
1.51748,12.86,1
1.51763,12.61,1
1.51761,12.81,1
1.51784,12.68,1
1.52196,14.36,1
1.51911,13.9,1
1.51735,13.02,1
1.5175,12.82,1
1.51966,14.77,1
1.51736,12.78,1
1.51751,12.81,1
1.5172,13.38,1
1.51764,12.98,1
1.51793,13.21,1
1.51721,12.87,1
1.51768,12.56,1
1.51784,13.08,1
1.51768,12.65,1
1.51747,12.84,1
1.51775,12.85,1
1.51753,12.57,1
1.51783,12.69,1
1.51567,13.29,1
1.51909,13.89,1
1.51797,12.74,1
1.52213,14.21,1
1.52213,14.21,1
1.51793,12.79,1
1.51755,12.71,1
1.51779,13.21,1
1.5221,13.73,1
1.51786,12.73,1
1.519,13.49,1
1.51869,13.19,1
1.52667,13.99,1
1.52223,13.21,1
1.51898,13.58,1
1.5232,13.72,1
1.51926,13.2,1
1.51808,13.43,1
1.51837,13.14,1
1.51778,13.21,1
1.51769,12.45,1
1.51215,12.99,1
1.51824,12.87,1
1.51754,13.48,1
1.51754,13.39,1
1.51905,13.6,1
1.51977,13.81,1
1.52172,13.51,1
1.52227,14.17,1
1.52172,13.48,1
1.52099,13.69,1
1.52152,13.05,1
1.52152,13.05,1
1.52152,13.12,1
1.523,13.31,1
1.51574,14.86,2
1.51848,13.64,2
1.51593,13.09,2
1.51631,13.34,2
1.51596,13.02,2
1.5159,13.02,2
1.51645,13.44,2
1.51627,13,2
1.51613,13.92,2
1.5159,12.82,2
1.51592,12.86,2
1.51593,13.25,2
1.51646,13.41,2
1.51594,13.09,2
1.51409,14.25,2
1.51625,13.36,2
1.51569,13.24,2
1.51645,13.4,2
1.51618,13.01,2
1.5164,12.55,2
1.51841,12.93,2
1.51605,12.9,2
1.51588,13.12,2
1.5159,13.24,2
1.51629,12.71,2
1.5186,13.36,2
1.51841,13.02,2
1.51743,12.2,2
1.51689,12.67,2
1.51811,12.96,2
1.51655,12.75,2
1.5173,12.35,2
1.5182,12.62,2
1.52725,13.8,2
1.5241,13.83,2
1.52475,11.45,2
1.53125,10.73,2
1.53393,12.3,2
1.52222,14.43,2
1.51818,13.72,2
1.52664,11.23,2
1.52739,11.02,2
1.52777,12.64,2
1.51892,13.46,2
1.51847,13.1,2
1.51846,13.41,2
1.51829,13.24,2
1.51708,13.72,2
1.51673,13.3,2
1.51652,13.56,2
1.51844,13.25,2
1.51663,12.93,2
1.51687,13.23,2
1.51707,13.48,2
1.52177,13.2,2
1.51872,12.93,2
1.51667,12.94,2
1.52081,13.78,2
1.52068,13.55,2
1.5202,13.98,2
1.52177,13.75,2
1.52614,13.7,2
1.51813,13.43,2
1.518,13.71,2
1.51811,13.33,2
1.51789,13.19,2
1.51806,13,2
1.51711,12.89,2
1.51674,12.79,2
1.51674,12.87,2
1.5169,13.33,2
1.51851,13.2,2
1.51662,12.85,2
1.51709,13,2
1.5166,12.99,2
1.51839,12.85,2
1.51769,13.65,3
1.5161,13.33,3
1.5167,13.24,3
1.51643,12.16,3
1.51665,13.14,3
1.52127,14.32,3
1.51779,13.64,3
1.5161,13.42,3
1.51694,12.86,3
1.51646,13.04,3
1.51655,13.41,3
1.52121,14.03,3
1.51776,13.53,3
1.51796,13.5,3
1.51832,13.33,3
1.51934,13.64,3
1.52211,14.19,3
1.51514,14.01,5
1.51915,12.73,5
1.52171,11.56,5
1.52151,11.03,5
1.51969,12.64,5
1.51666,12.86,5
1.51994,13.27,5
1.52369,13.44,5
1.51316,13.02,5
1.51321,13,5
1.52043,13.38,5
1.52058,12.85,5
1.52119,12.97,5
1.51905,14,6
1.51937,13.79,6
1.51829,14.46,6
1.51852,14.09,6
1.51299,14.4,6
1.51888,14.99,6
1.51916,14.15,6
1.51969,14.56,6
1.51115,17.38,6
1.51131,13.69,7
1.51838,14.32,7
1.52315,13.44,7
1.52247,14.86,7
1.52365,15.79,7
1.51613,13.88,7
1.51602,14.85,7
1.51623,14.2,7
1.51719,14.75,7
1.51683,14.56,7
1.51545,14.14,7
1.51556,13.87,7
1.51727,14.7,7
1.51531,14.38,7
1.51609,15.01,7
1.51508,15.15,7
1.51653,11.95,7
1.51514,14.85,7
1.51658,14.8,7
1.51617,14.95,7
1.51732,14.95,7
1.51645,14.94,7
1.51831,14.39,7
1.5164,14.37,7
1.51623,14.14,7
1.51685,14.92,7
1.52065,14.36,7
1.51651,14.38,7
1.51711,14.23,7
